metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
train_neg_root_mean_squared_error,0.753828399505348,0.454559554550354,Linear Regression,SVM-rbf,1.0,ns
train_neg_root_mean_squared_error,-21.130978108511233,2.865164852991091e-26,Linear Regression,Random Forest,6.016846191281292e-25,****
train_neg_root_mean_squared_error,-167.24150277278198,3.82635230935698e-76,Linear Regression,XGBoost,8.035339849649658e-75,****
train_neg_root_mean_squared_error,-167.24150277278198,3.82635230935698e-76,Linear Regression,AutoGluon,8.035339849649658e-75,****
train_neg_root_mean_squared_error,8.076637880487501,1.4591510688352258e-10,Ridge Regression,SVM-linear,3.0642172445539743e-09,****
train_neg_root_mean_squared_error,0.7537830801889933,0.45458652113894094,Ridge Regression,SVM-rbf,1.0,ns
train_neg_root_mean_squared_error,-21.131010906105434,2.864968081496085e-26,Ridge Regression,Random Forest,6.016432971141779e-25,****
train_neg_root_mean_squared_error,-167.24155645225503,3.82628489230632e-76,Ridge Regression,XGBoost,8.035198273843273e-75,****
train_neg_root_mean_squared_error,-167.24155645225503,3.82628489230632e-76,Ridge Regression,AutoGluon,8.035198273843273e-75,****
train_neg_root_mean_squared_error,-0.8834649503766818,0.38129926654097734,SVM-linear,SVM-rbf,1.0,ns
train_neg_root_mean_squared_error,-21.451027020586935,1.4718121789264717e-26,SVM-linear,Random Forest,3.0908055757455904e-25,****
train_neg_root_mean_squared_error,-164.1142411228608,1.0783943493788523e-75,SVM-linear,XGBoost,2.2646281336955898e-74,****
train_neg_root_mean_squared_error,-164.1142411228608,1.0783943493788523e-75,SVM-linear,AutoGluon,2.2646281336955898e-74,****
train_neg_root_mean_squared_error,-18.463360257895445,1.0330985896019489e-23,SVM-rbf,Random Forest,2.169507038164093e-22,****
train_neg_root_mean_squared_error,-151.78740871647912,7.830968407920558e-74,SVM-rbf,XGBoost,1.644503365663317e-72,****
train_neg_root_mean_squared_error,-151.78740871647912,7.830968407920558e-74,SVM-rbf,AutoGluon,1.644503365663317e-72,****
train_neg_root_mean_squared_error,-132.67001683486023,1.2608054835232344e-70,Random Forest,XGBoost,2.6476915153987924e-69,****
train_neg_root_mean_squared_error,-132.67001683486023,1.2608054835232344e-70,Random Forest,AutoGluon,2.6476915153987924e-69,****
train_neg_root_mean_squared_error,,,XGBoost,AutoGluon,,ns
test_r_corr,-0.023528930598744245,0.9813239198964087,Linear Regression,Ridge Regression,1.0,ns
test_r_corr,0.24359096874440772,0.8085645939543735,Linear Regression,SVM-linear,1.0,ns
test_r_corr,0.6886755977027437,0.4942753811392684,Linear Regression,SVM-rbf,1.0,ns
test_r_corr,0.6214196693742626,0.5372039855387256,Linear Regression,Random Forest,1.0,ns
test_r_corr,0.4617990639203336,0.6460468576353846,Linear Regression,XGBoost,1.0,ns
test_r_corr,0.31919065893703685,0.7507911139356784,Linear Regression,AutoGluon,1.0,ns
test_r_corr,0.2431239872478578,0.8089242683213514,Ridge Regression,SVM-linear,1.0,ns
test_r_corr,0.6885178027628501,0.49437384062888945,Ridge Regression,SVM-rbf,1.0,ns
