Feature Combination,Model,Target,Performance Test Set MAE Pitts,Performance Test Set RMSE Pitts,Performance Test Set R2 Pitts,Performance Test Set Pearson r Pitts,Performance Test Set Pearson r p-value Pitts,Performance Test Set Spearman r Pitts,Performance Test Set Spearman r p-value Pitts
Sleep_Cov,AutoGluon,Memory_Letter_rgo_age,29.42699233286248,31.578792615875606,-10.10286504419359,-0.2065432164874443,0.1950977297264554,-0.0764908313365696,0.6345509951342716
Sleep_Cov,AutoGluon,Memory_Spatial,12.009360416425643,14.47768624182992,-0.0822078373621255,0.0756272525983513,0.638391392894368,0.075256396954577,0.6400434882626946
Sleep_Cov,AutoGluon,Memory_Spatial_rgo_age,12.91889934039494,16.042802177190804,-0.3872167572527933,-0.0364453854526296,0.8210283610161159,0.0281383396833909,0.861365804242779
Sleep_Cov,XGBoost,Executive,3.417760569874833,4.270992002981758,-0.0800897319868569,-0.007126326152473,0.9647289464570792,0.0555903663945386,0.7299355921316492
Sleep_Cov,XGBoost,Executive_rgo_age,4.257238513112142,5.916480295789442,-1.0614625430784908,-0.1451720887106951,0.3651377630670089,-0.1690122449190977,0.2908030189632795
Sleep_Cov,XGBoost,Memory_Letter,25.84762275509718,27.71358243247943,-7.772830852416863,-0.0948722427327862,0.5551734562951856,-0.0787746527815721,0.6244403410871001
Sleep_Cov,XGBoost,Memory_Letter_rgo_age,29.841499379457183,31.482278333397225,-10.035101369806494,-0.074631625189769,0.642830612902398,-0.0234078761265716,0.88449918511897
Sleep_Cov,XGBoost,Memory_Spatial,11.82493486747786,14.239963894756029,-0.046960098390961,0.0953125767245014,0.5533306132366154,0.0855942954885003,0.5946568642854613
Sleep_Cov,XGBoost,Memory_Spatial_rgo_age,12.521290804656177,15.317541409583502,-0.2646256783285792,0.0900096813189302,0.5757129923161224,0.1216110417347583,0.4487939796123189
Sleep_Cov_APOE,AutoGluon,Executive,3.466669152422649,4.699214002624219,-0.3075333279173817,-0.1006884086476435,0.5310675479420821,-0.1320378744859975,0.4105529752318192
Sleep_Cov_APOE,AutoGluon,Memory_Letter,28.75657895716225,30.54181206770649,-9.65476851627247,-0.1452362370655626,0.3649236404175315,-0.0846455112202432,0.5987629789202931
Sleep_Cov_APOE,AutoGluon,Memory_Spatial,12.55766639310724,15.318939718053118,-0.2116293033825202,0.039360163710508,0.8069763625938154,0.0800749089831006,0.6187140612844444
Sleep_Cov_APOE,XGBoost,Executive,3.5074521274101444,4.217161792576279,-0.0530350995417492,0.0274783231260023,0.8645870792924929,0.1264097642795844,0.4309583296148438
Sleep_Cov_APOE,XGBoost,Memory_Letter,23.19682609744188,25.126717045777543,-6.211505118141358,-0.094923064631191,0.5549606144055222,-0.1312618797183481,0.4133331746901544
Sleep_Cov_APOE,XGBoost,Memory_Spatial,11.700341201410062,13.815664407892545,0.0145016428088788,0.122693454008376,0.4447361454854611,0.0473966364987499,0.7685542536529588
Sleep_Cov_APOE_Shuffle,AutoGluon,Executive,3.515928082349824,4.636176920130676,-0.2726890928784331,-0.1974813453542488,0.2158554292033785,-0.2365238458292501,0.1365208234654569
Sleep_Cov_APOE_Shuffle,AutoGluon,Memory_Letter,26.75067343362948,28.72707273475687,-8.42621119103655,-0.1752375598308643,0.2731337710700507,-0.1205716598747977,0.4527094253351083
Sleep_Cov_APOE_Shuffle,AutoGluon,Memory_Spatial,12.024265914013162,14.613864187529888,-0.1026622022827419,0.0677937670892222,0.673643658140693,0.1167832097094892,0.467136594998322
Sleep_Cov_APOE_Shuffle,XGBoost,Executive,3.5093377973975204,4.407780462315135,-0.1503824087097067,-0.1088128804786829,0.4982723900116077,-0.0450689278245538,0.7796312553013676
Sleep_Cov_APOE_Shuffle,XGBoost,Memory_Letter,27.440648706947886,29.189496710264883,-8.732123949640279,-0.0046230260504897,0.97711463540345,0.0189277710064767,0.9064961542592576
Sleep_Cov_APOE_Shuffle,XGBoost,Memory_Spatial,11.588331384248988,14.195757078518366,-0.0404697824804765,0.2600551604677265,0.1005775844993908,0.2549103889195385,0.1077380573299442
Sleep_Cov_Brain,AutoGluon,Executive,4.426798052904083,5.035364787927186,-0.5012886388989941,-0.0283518007518485,0.860324458207273,-0.0540475032896016,0.7371605263691461
Sleep_Cov_Brain,AutoGluon,Executive_rgo_age,3.657689945462883,4.869798925698023,-0.3965955765412294,-0.1141642505264746,0.4772514936734571,-0.1475124211760851,0.3573747556222839
Sleep_Cov_Brain,AutoGluon,Memory_Letter,19.365285361685405,21.41819008323464,-4.23986327349701,0.1740472233511843,0.2764564885170686,0.2009235582070576,0.2077977100464325
Sleep_Cov_Brain,AutoGluon,Memory_Letter_rgo_age,27.14806886790357,28.778069719637447,-8.220773189095627,0.038588892836878,0.8106889917216648,0.0833732637689033,0.6042882644020324
